text,author
Who is the happy Warrior ? Who is he That every man in arms should,William Wordsworth
"wish to be ? —It is the generous Spirit , who , when brought Among",William Wordsworth
"the tasks of real life , hath wrought Upon the plan that pleased his boyish",William Wordsworth
thought : Whose high endeavours are an inward light That makes the path before him,William Wordsworth
"always bright ; Who , with a natural instinct to discern What knowledge can perform",William Wordsworth
", is diligent to learn ; Abides by this resolve , and stops not there",William Wordsworth
", But makes his moral being his prime care ; Who , doomed to go",William Wordsworth
"in company with Pain , And Fear , and Bloodshed , miserable train ! Turns",William Wordsworth
his necessity to glorious gain ; In face of these doth exercise a power Which,William Wordsworth
"is our human nature 's highest dower : Controls them and subdues , transmutes ,",William Wordsworth
"bereaves Of their bad influence , and their good receives : By objects , which",William Wordsworth
"might force the soul to abate Her feeling , rendered more compassionate ; Is placable—because",William Wordsworth
"occasions rise So often that demand such sacrifice ; More skilful in self-knowledge , even",William Wordsworth
"more pure , As tempted more ; more able to endure , As more exposed",William Wordsworth
"to suffering and distress ; Thence , also , more alive to tenderness . —'Tis",William Wordsworth
he whose law is reason ; who depends Upon that law as on the best,William Wordsworth
"of friends ; Whence , in a state where men are tempted still To evil",William Wordsworth
"for a guard against worse ill , And what in quality or act is best",William Wordsworth
"Doth seldom on a right foundation rest , He labours good on good to fix",William Wordsworth
", and owes To virtue every triumph that he knows : —Who , if he",William Wordsworth
"rise to station of command , Rises by open means ; and there will stand",William Wordsworth
"On honourable terms , or else retire , And in himself possess his own desire",William Wordsworth
"; Who comprehends his trust , and to the same Keeps faithful with a singleness",William Wordsworth
"of aim ; And therefore does not stoop , nor lie in wait For wealth",William Wordsworth
", or honours , or for worldly state ; Whom they must follow ; on",William Wordsworth
"whose head must fall , Like showers of manna , if they come at all",William Wordsworth
": Whose powers shed round him in the common strife , Or mild concerns of",William Wordsworth
"ordinary life , A constant influence , a peculiar grace ; But who , if",William Wordsworth
he be called upon to face Some awful moment to which Heaven has joined Great,William Wordsworth
"issues , good or bad for human kind , Is happy as a Lover ;",William Wordsworth
"and attired With sudden brightness , like a Man inspired ; And , through the",William Wordsworth
"heat of conflict , keeps the law In calmness made , and sees what he",William Wordsworth
"foresaw ; Or if an unexpected call succeed , Come when it will , is",William Wordsworth
"equal to the need : —He who , though thus endued as with a sense",William Wordsworth
"And faculty for storm and turbulence , Is yet a Soul whose master-bias leans To",William Wordsworth
"homefelt pleasures and to gentle scenes ; Sweet images ! which , wheresoe'er he be",William Wordsworth
", Are at his heart ; and such fidelity It is his darling passion to",William Wordsworth
"approve ; More brave for this , that he hath much to love : —",William Wordsworth
"'Tis , finally , the Man , who , lifted high , Conspicuous object in",William Wordsworth
"a Nation 's eye , Or left unthought-of in obscurity , — Who , with",William Wordsworth
"a toward or untoward lot , Prosperous or adverse , to his wish or not—",William Wordsworth
"Plays , in the many games of life , that one Where what he most",William Wordsworth
"doth value must be won : Whom neither shape or danger can dismay , Nor",William Wordsworth
"thought of tender happiness betray ; Who , not content that former worth stand fast",William Wordsworth
", Looks forward , persevering to the last , From well to better , daily",William Wordsworth
"self-surpast : Who , whether praise of him must walk the earth For ever ,",William Wordsworth
"and to noble deeds give birth , Or he must fall , to sleep without",William Wordsworth
"his fame , And leave a dead unprofitable name— Finds comfort in himself and in",William Wordsworth
"his cause ; And , while the mortal mist is gathering , draws His breath",William Wordsworth
in confidence of Heaven 's applause : This is the happy Warrior ; this is,William Wordsworth
he That every man in arms should wish to be . There is a change—and,William Wordsworth
"I am poor ; Your love hath been , nor long ago , A fountain",William Wordsworth
"at my fond heart 's door , Whose only business was to flow ; And",William Wordsworth
"flow it did ; not taking heed Of its own bounty , or my need",William Wordsworth
. What happy moments did I count ! Blest was I then all bliss above,William Wordsworth
"! Now , for that consecrated fount Of murmuring , sparkling , living love ,",William Wordsworth
What have I ? shall I dare to tell ? A comfortless and hidden well,William Wordsworth
". A well of love—it may be deep— I trust it is , —and never",William Wordsworth
dry : What matter ? if the waters sleep In silence and obscurity . —Such,William Wordsworth
"change , and at the very door Of my fond heart , hath made me",William Wordsworth
poor . Earth has not anything to show more fair : Dull would he be,William Wordsworth
of soul who could pass by A sight so touching in its majesty : This,William Wordsworth
"City now doth , like a garment , wear The beauty of the morning ;",William Wordsworth
"silent , bare , Ships , towers , domes , theatres , and temples lie",William Wordsworth
"Open unto the fields , and to the sky ; All bright and glittering in",William Wordsworth
"the smokeless air . Never did sun more beautifully steep In his first splendour ,",William Wordsworth
"valley , rock , or hill ; Ne'er saw I , never felt , a",William Wordsworth
