MemberName,Message
AbuIlyaas,"al-salamu 'alaykum ,  This is one of my favourite lectures by Jamal al-Din Zarabozo ( hafizhahullah ) and is one that I feel is still very relevant today. It was given in 1997 at the height of a lot of  fitna , name-calling and division. His sincerity comes across in his words and I found this lecture very moving when I first heard it.     &quot;Priorities of Bearing the Message - The Manners of Differing&quot;     Part One:   http://www.yousendit.com/transfer.ph...34685B3EB293C6   Part Two:   http://www.yousendit.com/transfer.ph...CC1AD63B276769"
AbuIlyaas,"Please refer to our  Question and Answer section rules :    Quote:     4. Things to avoid   a) Cut and Pasting and Links:   We are not accepting requests to review or refute articles. So do not cut and paste, or link to, other writings and ask for them to be explained or rebutted. If you have a specific query then please summarise what you want to know into a succinct question.    Our service here is for asking for religious rulings, we are not providing a translation service.  Your question as it stands will therefore not be answered."
AbuIlyaas,I've tried the download three times and each time it freezes at 514kb 3%. Has anyone managed to it get all downloaded? Any advice?
AbuIlyaas,"Alhamdu lillaah , they seem to have taken on board our critique of their document and are going to change the primary complaint we had and they will look through the rest of the corrections that we suggested. It seemed quite positive overall and I've been invited to some faith in the workplace forum.  One bit made me smile, when one manager was discussing how they need their document to be sensitive to other faiths and he mentioned how, in places, he would like to adjust the words I'd used, &quot;... for example, here you have said,  The Day when humanity will be resurrected and judged by Allah according to their beliefs and actions. The succesful will be granted Paradise and the unsuccessful will be given Hell-fire as an abode , well, um, you see, people don't tend to use language like that nowadays, all that fire and brimstone kind of thing, some people from other faiths might, well, they might, take offense to something like that ...&quot; :D"
AbuIlyaas,Quote:     Originally Posted by  Ibn El-Sheikh   Tell me something I didn't know five years ago?     The soft drink  Vimto  is also an anagram for how highly I regard it.
AbuIlyaas,"Dear Ibrahim,   I feel this urge to reply in a thread that isn't addressing me, what should I do?    (To UmmKhubayb: your dialogues are worthy of becoming a Muslim sitcom, I enjoy reading them)"
AbuIlyaas,"Quote:     Originally Posted by  AbuIlyaas    Alhamdu lillaah  for being able to make  wudhoo  with cold water in the summer months -  ahhh , refreshing!     The only thing that has changed since I said this is how I transliterate."
AbuIlyaas,"Quote:     Originally Posted by  Abu_Dharr_AlKashmiri      Alhamdulillah ala kulli hal - its a good thing i can stop eating chocolate - but what about them turkish 'halaal' sweets on sale evrywhere with halaal gelatine, can they be trusted?     I'm pretty sure the Cadbury's version still circulates with a suitable for vegetarians disclaimer.  Gelatine can come from different sources so it is feasible that they could be halal. Plus I feel more relaxed when I see the country of origin is a Muslim country as then it opens the doors to greater confidence that beef based gelatine has come from Islamicly slaughtered cows."
AbuIlyaas,"Hmm, typical Saudi pricing! Make the white guy pay more."
AbuIlyaas,"Quote:     Originally Posted by  Catalyst   Are we allowed to do that in Islaam? It sounds similar to hypnotising?     Yeah, that'd be my question too.  If I was forced (for some reason) to be in his vicinity when he was 'performing', I'd get a  mushaf  out of my bag and start reciting  soorah  al-Baqarah and see how many jinn are able to help him now."
